Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Shipping Days,Customer Latitude,Customer Longitude,Factory,Factory Latitude,Factory Longitude,Distance KM,Efficiency (Sales/KM),Efficiency (Profit/KM),Order Month
282,US-2021-128055-CHO-TRI-54000,2021-03-31,2026-09-26,Standard Class,128055,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,2005,37.76113,-122.48433,Wicked Choccy's,32.076176,-81.088371,3795.6561451674916,0.0019759429498240407,0.0012909493938850398,2021-03
288,US-2021-128055-CHO-SCR-58000,2021-03-31,2026-09-26,Standard Class,128055,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,2005,37.76113,-122.48433,Lot's O' Nuts,32.881893,-111.768036,1112.325863552582,0.006472923300555477,0.004495085625385748,2021-03
1132,US-2021-138100-CHO-FUD-51000,2021-09-15,2027-03-13,Standard Class,138100,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,2005,40.74173,-74.00037,Lot's O' Nuts,32.881893,-111.768036,3445.323058177541,0.0020897895141968356,0.0013931930094645572,2021-09
1133,US-2021-138100-CHO-MIL-31000,2021-09-15,2027-03-13,Standard Class,138100,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,2005,40.74173,-74.00037,Wicked Choccy's,32.076176,-81.088371,1152.6481543546645,0.008458782468149401,0.00549170184855238,2021-09
3396,US-2022-121391-CHO-MIL-31000,2022-10-04,2028-03-29,First Class,121391,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,2003,37.79334,-122.42138,Wicked Choccy's,32.076176,-81.088371,3789.9389544828923,0.0017150672024180069,0.001113474399108306,2022-10
4370,US-2023-103982-CHO-SCR-58000,2023-03-03,2028-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,2005,30.50461,-97.64583,Lot's O' Nuts,32.881893,-111.768036,1360.9170397374828,0.0026452751305799144,0.0018369966184582738,2023-03
4373,US-2023-103982-CHO-NUT-13000,2023-03-03,2028-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,2005,30.50461,-97.64583,Lot's O' Nuts,32.881893,-111.768036,1360.9170397374828,0.007693341838103251,0.005488945895953321,2023-03
4375,US-2023-103982-CHO-FUD-51000,2023-03-03,2028-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,2005,30.50461,-97.64583,Lot's O' Nuts,32.881893,-111.768036,1360.9170397374828,0.018516925914059398,0.0123446172760396,2023-03
4377,US-2023-103982-CHO-MIL-31000,2023-03-03,2028-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,2005,30.50461,-97.64583,Wicked Choccy's,32.076176,-81.088371,1581.4044321895185,0.00616540576309169,0.004002771126191836,2023-03
8005,US-2024-147039-CHO-NUT-13000,2024-06-29,2029-12-25,Standard Class,147039,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,2005,44.93484,-93.25263,Lot's O' Nuts,32.881893,-111.768036,2079.8897275330396,0.005033920722527191,0.0035915365613446142,2024-06
